2024-06-14T02:25:25+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:25:26+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:25:31+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:25:31+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:25:44+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:25:45+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:25:45+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:25:45+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:25:45+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:25:54+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
2024-06-14T02:25:54+00:00 CRITICAL syntax error, unexpected identifier "carrinho", expecting ";" CONTEXT: {"error":{"type":4,"file":"\/home2\/pro61805\/public_html\/wp-content\/themes\/organic-food-store\/functions.php","line":63},"backtrace":[{"file":"\/home2\/pro61805\/public_html\/wp-content\/plugins\/woocommerce\/includes\/class-woocommerce.php","line":349,"function":"critical","class":"WC_Logger","type":"->"},{"function":"log_errors","class":"WooCommerce","type":"->"}]}
